state,start,end,type
MV,2019-05-30,,Ascension Day
MV,2019-06-10,,Whit Monday
MV,2019-10-03,,German Unity Day
MV,2019-12-25,,Christmas Day
MV,2019-12-26,,Second Day of Christmas
MV,2019-10-31,,Reformation Day
MV,2020-01-01,,New Year's Day
MV,2020-04-10,,Good Friday
MV,2020-04-13,,Easter Monday
MV,2020-05-01,,Labor Day
MV,2020-05-21,,Ascension Day
MV,2020-06-01,,Whit Monday
MV,2020-10-03,,German Unity Day
MV,2020-12-25,,Christmas Day
MV,2020-12-26,,Second Day of Christmas
MV,2020-10-31,,Reformation Day
MV,2021-01-01,,New Year's Day
MV,2021-04-02,,Good Friday
MV,2021-04-05,,Easter Monday
MV,2021-05-01,,Labor Day
MV,2021-05-13,,Ascension Day
MV,2021-05-24,,Whit Monday
MV,2021-10-03,,German Unity Day
MV,2021-12-25,,Christmas Day
MV,2021-12-26,,Second Day of Christmas
MV,2021-10-31,,Reformation Day
MV,2022-01-01,,New Year's Day
MV,2022-04-15,,Good Friday
MV,2022-04-18,,Easter Monday
MV,2022-05-01,,Labor Day
MV,2022-05-26,,Ascension Day
MV,2022-06-06,,Whit Monday
MV,2022-10-03,,German Unity Day
MV,2022-12-25,,Christmas Day
MV,2022-12-26,,Second Day of Christmas
MV,2022-10-31,,Reformation Day
MV,2023-01-01,,New Year's Day
MV,2023-04-07,,Good Friday
MV,2023-04-10,,Easter Monday
MV,2023-05-01,,Labor Day
MV,2023-05-18,,Ascension Day
MV,2023-05-29,,Whit Monday
MV,2023-10-03,,German Unity Day
MV,2023-12-25,,Christmas Day
MV,2023-12-26,,Second Day of Christmas
MV,2023-03-08,,International Women's Day
MV,2023-10-31,,Reformation Day
HH,2018-01-01,,New Year's Day
HH,2018-03-30,,Good Friday
HH,2018-04-02,,Easter Monday
HH,2018-05-01,,Labor Day
HH,2018-05-10,,Ascension Day
HH,2018-05-21,,Whit Monday
HH,2018-10-03,,German Unity Day
HH,2018-12-25,,Christmas Day
HH,2018-12-26,,Second Day of Christmas
HH,2018-10-31,,Reformation Day
HH,2019-01-01,,New Year's Day
HH,2019-04-19,,Good Friday
HH,2019-04-22,,Easter Monday
HH,2019-05-01,,Labor Day
HH,2019-05-30,,Ascension Day
HH,2019-06-10,,Whit Monday
HH,2019-10-03,,German Unity Day
HH,2019-12-25,,Christmas Day
HH,2019-12-26,,Second Day of Christmas
HH,2019-10-31,,Reformation Day
HH,2020-01-01,,New Year's Day
HH,2020-04-10,,Good Friday
HH,2020-04-13,,Easter Monday
